feature,coefficient_log_price,absolute_coefficient,is_zero
binary__memory_seat,0.057931972656052176,0.057931972656052176,False
"cat__engine_3.6l v-6 gasoline direct injection, dohc, variable valve control",-0.05777632071472457,0.05777632071472457,False
binary__adaptive_cruise_control,0.05758090222872723,0.05758090222872723,False
cat__engine_3.5l v6 24v pdi dohc,0.056774490587750324,0.056774490587750324,False
cat__engine_infrequent_sklearn,0.05655006661341899,0.05655006661341899,False
cat__interior_color_soft beige,-0.056298028693009206,0.056298028693009206,False
cat__engine_5.0l v8 32v gdi dohc,-0.05620467647744397,0.05620467647744397,False
cat__model_veloster n n,0.05599257224871552,0.05599257224871552,False
cat__engine_2.0l h4 16v gdi dohc turbo,-0.05580125192722515,0.05580125192722515,False
cat__exterior_color_red,0.055477373237507586,0.055477373237507586,False
cat__transmission_automatic cvt,-0.05354358536590724,0.05354358536590724,False
cat__brand_jeep,-0.05327937378784086,0.05327937378784086,False
cat__interior_color_red / black,0.052998270413375716,0.052998270413375716,False
cat__model_lancer es,-0.0522179075676404,0.0522179075676404,False
cat__model_wrangler unlimited sport,0.05201774394529591,0.05201774394529591,False
cat__interior_color_brown,0.05175670738432278,0.05175670738432278,False
cat__model_levante gt,0.05157740024437263,0.05157740024437263,False
cat__model_500l trekking,-0.051440151145656594,0.051440151145656594,False
cat__model_armada sl,-0.05113697578965001,0.05113697578965001,False
cat__transmission_5-speed manual,0.05076236684158071,0.05076236684158071,False
cat__model_cx-5 touring,0.05016096003529638,0.05016096003529638,False
cat__transmission_automatic,0.0501099111187607,0.0501099111187607,False
cat__model_romeo stelvio base,-0.04988473008748531,0.04988473008748531,False
"cat__engine_1.6l i-4 gasoline direct injection, dohc, variable valve control",-0.04966237804454449,0.04966237804454449,False
cat__engine_1.8l i4 16v mpfi sohc,-0.04908941889833849,0.04908941889833849,False
cat__exterior_color_gray metallic,0.048309303813162535,0.048309303813162535,False
cat__model_convertible cooper,0.047315264503775274,0.047315264503775274,False
cat__exterior_color_super black,-0.04727843735124754,0.04727843735124754,False
cat__exterior_color_modern steel metallic,0.04677050930311677,0.04677050930311677,False
cat__brand_toyota,0.04555847445197202,0.04555847445197202,False
cat__interior_color_red,0.0452859014396112,0.0452859014396112,False
cat__exterior_color_gold,-0.045172923318117536,0.045172923318117536,False
cat__exterior_color_iridium silver metallic,-0.04419759349307611,0.04419759349307611,False
cat__model_countryman cooper s all4,0.04405200517554334,0.04405200517554334,False
cat__interior_color_blue,0.043783945077544094,0.043783945077544094,False
cat__model_levante base,-0.04323645355132024,0.04323645355132024,False
